feature	name	ridge_coef	ridge_zcoef	lasso_coef	lasso_zcoef	select_coef	select_zcoef
DWPC_0.4|G-a-D-a-G-a-D	GaDaGaD	50.1059419658922	2.53778862460897	58.1870914234121	2.94708637179072	57.449958914982	2.90975174796513
DWPC_0.4|G-a-D-l-T-l-D	GaDlTlD	20.5895169007358	2.00413247793486	26.8769993619278	2.61614041700751		
DWPC_0.4|G-a-D-m-P-m-D	GaDmPmD	18.125685551052	1.64056739248203	9.91122507081103	0.897071320415753	24.7632448443126	2.24133712952281
DWPC_0.4|G-e-T-e-G-a-D	GeTeGaD	4.47606917122158	0.235981200404799	0	0		
DWPC_0.4|G-e-T-l-D	GeTlD	2.94292403736283	0.29416228389752	0	0	3.88095126941976	0.387923532722414
DWPC_0.4|G-i-G-a-D	GiGaD	12.9755822814135	1.14067123213883	11.6645059187275	1.02541574243373	14.5604433378352	1.27999487671908
DWPC_0.4|G-i-G-e-T-l-D	GiGeTlD	1.75430040775974	0.248650893056492	0	0		
DWPC_0.4|G-i-G-i-G-a-D	GiGiGaD	15.7227853140928	0.772665184713163	0	0	18.8917904154648	0.928399672152474
DWPC_0.4|G-m-C1-m-G-a-D	{Positional}	2.92305576609239	0.205046181214233	0	0		
DWPC_0.4|G-m-C2.CG-m-G-a-D	{Perturbation}	32.885385393651	1.51343371897462	116.158985823216	5.34580707516022	41.3317652283545	1.90214852015726
DWPC_0.4|G-m-C2.CP.B-m-G-a-D	{BioCarta}	13.668528697837	0.543404763409131	0	0	15.5156894219625	0.616840314408186
DWPC_0.4|G-m-C2.CP.K-m-G-a-D	{KEGG}	22.6926099321224	1.18399621316258	13.4014392476244	0.699225579057562	26.7880567413116	1.39767782703569
DWPC_0.4|G-m-C2.CP.R-m-G-a-D	{Reactome}	23.6726020308041	1.2358851822331	28.8722203880574	1.50734377696783	27.6048720902564	1.44117880786378
DWPC_0.4|G-m-C3.M-m-G-a-D	{miRNA Target}	14.9367148285025	0.509269861902855	0	0		
DWPC_0.4|G-m-C3.T-m-G-a-D	{TF Target}	14.2198070025826	0.636559558191809	0	0		
DWPC_0.4|G-m-C4.CG-m-G-a-D	{Cancer Hood}	2.99276372393479	0.116906502745826	0	0		
DWPC_0.4|G-m-C4.CM-m-G-a-D	{Cancer Module}	14.3159155990131	0.71643470928683	0	0		
DWPC_0.4|G-m-C5.B-m-G-a-D	{GO Process}	15.7135761240996	0.814222572650913	0	0		
DWPC_0.4|G-m-C5.C-m-G-a-D	{GO Component}	9.83631994422564	0.376946670652605	0	0		
DWPC_0.4|G-m-C5.M-m-G-a-D	{GO Function}	7.78379403279108	0.363907474902484	0	0		
DWPC_0.4|G-m-C6-m-G-a-D	{Oncogenic}	12.6676539485376	0.54371139530575	0	0		
DWPC_0.4|G-m-C7-m-G-a-D	{Immunologic}	27.6030574607354	1.2112943222995	0	0	34.0099813576471	1.49244689211078
intercept	intercept	-7.14950297515158	0	-7.14857910437932	0	-7.09989435031872	0
PC_s|G-a-D	GaD (any disease)	0.240591716715488	1.89857050093066	0.323601349080937	2.55362064751783	0.304526994326822	2.40310005705514
PC_t|G-a-D	GaD (any gene)	0.0017012318527301	0.672484304942609	0	0	0.00207442849007387	0.820006161453992
