gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.093
A1CF	HGNC:24086	-	0	 0.097	 0.101
A2M	HGNC:7	-	0	 0.176	 0.172
A2ML1	HGNC:23336	-	0	 0.084	 0.090
A3GALT2	HGNC:30005	-	0	 0.082	 0.083
A4GALT	HGNC:18149	-	0	 0.096	 0.098
A4GNT	HGNC:17968	-	0	 0.097	 0.094
AAAS	HGNC:13666	-	0	 0.109	 0.109
AACS	HGNC:21298	-	0	 0.092	 0.094
AADAC	HGNC:17	-	0	 0.104	 0.097
AADACL2	HGNC:24427	-	0	 0.084	 0.084
AADACL3	HGNC:32037	-	0	 0.082	 0.083
AADACL4	HGNC:32038	-	0	 0.083	 0.085
AADAT	HGNC:17929	-	0	 0.092	 0.094
AAED1	HGNC:16881	-	0	 0.091	 0.093
AAGAB	HGNC:25662	-	0	 0.095	 0.096
AAK1	HGNC:19679	-	0	 0.109	 0.126
AAMDC	HGNC:30205	-	0	 0.096	 0.098
AAMP	HGNC:18	-	0	 0.103	 0.104
AANAT	HGNC:19	-	0	 0.096	 0.097
AAR2	HGNC:15886	-	0	 0.095	 0.095
AARD	HGNC:33842	-	0	 0.088	 0.092
AARS	HGNC:20	-	0	 0.112	 0.113
AARS2	HGNC:21022	-	0	 0.092	 0.092
AARSD1	HGNC:28417	-	0	 0.096	 0.096
AASDH	HGNC:23993	-	0	 0.088	 0.092
AASDHPPT	HGNC:14235	-	0	 0.100	 0.102
AASS	HGNC:17366	-	0	 0.107	 0.110
AATF	HGNC:19235	-	0	 0.118	 0.113
AATK	HGNC:21	-	0	 0.101	 0.108
ABAT	HGNC:23	-	0	 0.128	 0.120
ABCA1	HGNC:29	-	1	 0.568	 0.422
ABCA10	HGNC:30	-	0	 0.091	 0.084
ABCA12	HGNC:14637	-	0	 0.107	 0.102
ABCA13	HGNC:14638	-	0	 0.093	 0.098
ABCA2	HGNC:32	-	0	 0.127	 0.126
ABCA3	HGNC:33	-	0	 0.155	 0.106
ABCA4	HGNC:34	-	0	 0.105	 0.101
ABCA5	HGNC:35	-	0	 0.102	 0.098
ABCA6	HGNC:36	-	0	 0.106	 0.103
ABCA7	HGNC:37	-	1	 0.246	 0.140
