gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.090
A1CF	HGNC:24086	-	0	 0.097	 0.098
A2M	HGNC:7	-	0	 0.176	 0.101
A2ML1	HGNC:23336	-	0	 0.084	 0.080
A3GALT2	HGNC:30005	-	0	 0.082	 0.080
A4GALT	HGNC:18149	-	0	 0.096	 0.087
A4GNT	HGNC:17968	-	0	 0.097	 0.091
AAAS	HGNC:13666	-	0	 0.109	 0.091
AACS	HGNC:21298	-	0	 0.092	 0.089
AADAC	HGNC:17	-	0	 0.104	 0.085
AADACL2	HGNC:24427	-	0	 0.084	 0.083
AADACL3	HGNC:32037	-	0	 0.082	 0.080
AADACL4	HGNC:32038	-	0	 0.083	 0.086
AADAT	HGNC:17929	-	0	 0.092	 0.095
AAED1	HGNC:16881	-	0	 0.091	 0.085
AAGAB	HGNC:25662	-	0	 0.095	 0.087
AAK1	HGNC:19679	-	0	 0.109	 0.099
AAMDC	HGNC:30205	-	0	 0.096	 0.087
AAMP	HGNC:18	-	0	 0.103	 0.090
AANAT	HGNC:19	-	0	 0.096	 0.093
AAR2	HGNC:15886	-	0	 0.095	 0.085
AARD	HGNC:33842	-	0	 0.088	 0.085
AARS	HGNC:20	-	0	 0.112	 0.104
AARS2	HGNC:21022	-	0	 0.092	 0.091
AARSD1	HGNC:28417	-	0	 0.096	 0.097
AASDH	HGNC:23993	-	0	 0.088	 0.085
AASDHPPT	HGNC:14235	-	0	 0.100	 0.100
AASS	HGNC:17366	-	0	 0.107	 0.092
AATF	HGNC:19235	-	0	 0.118	 0.101
AATK	HGNC:21	-	0	 0.101	 0.094
ABAT	HGNC:23	-	0	 0.128	 0.138
ABCA1	HGNC:29	-	1	 0.568	 0.153
ABCA10	HGNC:30	-	0	 0.091	 0.081
ABCA12	HGNC:14637	-	0	 0.107	 0.088
ABCA13	HGNC:14638	-	0	 0.093	 0.083
ABCA2	HGNC:32	-	0	 0.127	 0.097
ABCA3	HGNC:33	-	0	 0.155	 0.092
ABCA4	HGNC:34	-	0	 0.105	 0.093
ABCA5	HGNC:35	-	0	 0.102	 0.091
ABCA6	HGNC:36	-	0	 0.106	 0.090
ABCA7	HGNC:37	-	1	 0.246	 0.336
ABCA8	HGNC:38	-	0	 0.109	 0.089
ABCA9	HGNC:39	-	0	 0.097	 0.085
ABCB1	HGNC:40	-	0	 0.141	 0.175
ABCB10	HGNC:41	-	0	 0.105	 0.094
ABCB11	HGNC:42	-	0	 0.111	 0.087
ABCB4	HGNC:45	-	0	 0.125	 0.094
ABCB5	HGNC:46	-	0	 0.095	 0.088
ABCB6	HGNC:47	-	0	 0.119	 0.092
ABCB7	HGNC:48	-	0	 0.110	 0.096
ABCB8	HGNC:49	-	0	 0.103	 0.085
ABCB9	HGNC:50	-	0	 0.119	 0.106
ABCC1	HGNC:51	-	0	 0.125	 0.097
ABCC10	HGNC:52	-	0	 0.101	 0.097
ABCC11	HGNC:14639	-	0	 0.094	 0.086
ABCC12	HGNC:14640	-	0	 0.090	 0.084
ABCC2	HGNC:53	-	0	 0.110	 0.089
ABCC3	HGNC:54	-	0	 0.134	 0.102
ABCC4	HGNC:55	-	0	 0.117	 0.097
ABCC5	HGNC:56	-	0	 0.145	 0.124
ABCC6	HGNC:57	-	0	 0.109	 0.090
ABCC8	HGNC:59	-	0	 0.136	 0.092
ABCC9	HGNC:60	-	0	 0.115	 0.084
ABCD1	HGNC:61	-	0	 0.118	 0.095
ABCD2	HGNC:66	-	0	 0.115	 0.098
ABCD3	HGNC:67	-	0	 0.119	 0.103
ABCD4	HGNC:68	-	0	 0.104	 0.091
ABCE1	HGNC:69	-	0	 0.119	 0.096
ABCF1	HGNC:70	-	0	 0.108	 0.098
ABCF2	HGNC:71	-	0	 0.102	 0.092
ABCF3	HGNC:72	-	0	 0.094	 0.090
ABCG1	HGNC:73	-	0	 0.177	 0.104
ABCG2	HGNC:74	-	1	 0.427	 0.190
ABCG4	HGNC:13884	-	0	 0.105	 0.087
ABCG5	HGNC:13886	-	0	 0.107	 0.094
ABCG8	HGNC:13887	-	0	 0.105	 0.093
ABHD1	HGNC:17553	-	0	 0.090	 0.091
ABHD10	HGNC:25656	-	0	 0.098	 0.097
ABHD11	HGNC:16407	-	0	 0.096	 0.087
ABHD12	HGNC:15868	-	0	 0.093	 0.089
ABHD12B	HGNC:19837	-	0	 0.084	 0.081
ABHD13	HGNC:20293	-	0	 0.092	 0.088
ABHD14A	HGNC:24538	-	0	 0.103	 0.100
ABHD14B	HGNC:28235	-	0	 0.098	 0.090
ABHD15	HGNC:26971	-	0	 0.094	 0.094
ABHD16A	HGNC:13921	-	0	 0.102	 0.103
ABHD16B	HGNC:16128	-	0	 0.084	 0.080
ABHD17A	HGNC:28756	-	0	 0.096	 0.097
ABHD17B	HGNC:24278	-	0	 0.095	 0.090
ABHD17C	HGNC:26925	-	0	 0.097	 0.094
ABHD2	HGNC:18717	-	0	 0.109	 0.100
ABHD3	HGNC:18718	-	0	 0.105	 0.100
ABHD4	HGNC:20154	-	0	 0.100	 0.096
ABHD5	HGNC:21396	-	0	 0.110	 0.099
ABHD6	HGNC:21398	-	0	 0.103	 0.103
ABHD8	HGNC:23759	-	0	 0.102	 0.096
ABI1	HGNC:11320	-	0	 0.120	 0.097
ABI2	HGNC:24011	-	0	 0.117	 0.093
ABI3	HGNC:29859	-	0	 0.107	 0.093
ABI3BP	HGNC:17265	-	0	 0.105	 0.091
ABL1	HGNC:76	-	0	 0.169	 0.137
ABL2	HGNC:77	-	0	 0.125	 0.097
ABLIM1	HGNC:78	-	0	 0.150	 0.128
ABLIM2	HGNC:19195	-	0	 0.094	 0.098
ABLIM3	HGNC:29132	-	0	 0.113	 0.099
ABO	HGNC:79	-	3	 0.598	 0.179
ABR	HGNC:81	-	0	 0.120	 0.107
ABRA	HGNC:30655	-	0	 0.094	 0.085
ABRACL	HGNC:21230	-	0	 0.097	 0.089
ABT1	HGNC:17369	-	0	 0.101	 0.092
ABTB1	HGNC:18275	-	0	 0.101	 0.091
ABTB2	HGNC:23842	-	0	 0.115	 0.095
ACAA1	HGNC:82	-	0	 0.115	 0.102
ACAA2	HGNC:83	-	0	 0.115	 0.101
ACACA	HGNC:84	-	0	 0.126	 0.097
ACACB	HGNC:85	-	0	 0.109	 0.095
ACAD10	HGNC:21597	-	0	 0.089	 0.081
ACAD11	HGNC:30211	-	0	 0.088	 0.082
ACAD8	HGNC:87	-	0	 0.105	 0.090
ACAD9	HGNC:21497	-	0	 0.093	 0.085
ACADL	HGNC:88	-	0	 0.109	 0.119
ACADM	HGNC:89	-	0	 0.123	 0.154
ACADS	HGNC:90	-	0	 0.112	 0.122
ACADSB	HGNC:91	-	0	 0.116	 0.114
ACADVL	HGNC:92	-	0	 0.118	 0.114
ACAN	HGNC:319	-	0	 0.110	 0.093
ACAP1	HGNC:16467	-	0	 0.119	 0.095
ACAP2	HGNC:16469	-	0	 0.109	 0.094
ACAP3	HGNC:16754	-	0	 0.095	 0.086
ACAT1	HGNC:93	-	0	 0.116	 0.104
ACAT2	HGNC:94	-	0	 0.111	 0.098
ACBD3	HGNC:15453	-	0	 0.105	 0.094
ACBD4	HGNC:23337	-	0	 0.092	 0.084
ACBD5	HGNC:23338	-	0	 0.094	 0.088
ACBD6	HGNC:23339	-	0	 0.098	 0.086
ACBD7	HGNC:17715	-	0	 0.084	 0.083
ACCS	HGNC:23989	-	0	 0.090	 0.087
ACCSL	HGNC:34391	-	0	 0.086	 0.101
ACD	HGNC:25070	-	0	 0.110	 0.098
ACE	HGNC:2707	-	0	 0.116	 0.090
ACE2	HGNC:13557	-	0	 0.104	 0.098
ACER1	HGNC:18356	-	0	 0.090	 0.085
ACER2	HGNC:23675	-	0	 0.095	 0.093
