gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.083
A1CF	HGNC:24086	-	0	 0.097	 0.088
A2M	HGNC:7	-	0	 0.176	 0.100
A2ML1	HGNC:23336	-	0	 0.084	 0.081
A3GALT2	HGNC:30005	-	0	 0.082	 0.080
A4GALT	HGNC:18149	-	0	 0.096	 0.089
A4GNT	HGNC:17968	-	0	 0.097	 0.086
AAAS	HGNC:13666	-	0	 0.109	 0.088
AACS	HGNC:21298	-	0	 0.092	 0.083
AADAC	HGNC:17	-	0	 0.104	 0.093
AADACL2	HGNC:24427	-	0	 0.084	 0.080
AADACL3	HGNC:32037	-	0	 0.082	 0.080
AADACL4	HGNC:32038	-	0	 0.083	 0.080
AADAT	HGNC:17929	-	0	 0.092	 0.084
AAED1	HGNC:16881	-	0	 0.091	 0.081
AAGAB	HGNC:25662	-	0	 0.095	 0.084
AAK1	HGNC:19679	-	0	 0.109	 0.094
AAMDC	HGNC:30205	-	0	 0.096	 0.086
AAMP	HGNC:18	-	0	 0.103	 0.088
AANAT	HGNC:19	-	0	 0.096	 0.086
AAR2	HGNC:15886	-	0	 0.095	 0.084
AARD	HGNC:33842	-	0	 0.088	 0.089
AARS	HGNC:20	-	0	 0.112	 0.098
AARS2	HGNC:21022	-	0	 0.092	 0.087
AARSD1	HGNC:28417	-	0	 0.096	 0.087
AASDH	HGNC:23993	-	0	 0.088	 0.082
AASDHPPT	HGNC:14235	-	0	 0.100	 0.086
AASS	HGNC:17366	-	0	 0.107	 0.084
AATF	HGNC:19235	-	0	 0.118	 0.098
AATK	HGNC:21	-	0	 0.101	 0.095
ABAT	HGNC:23	-	0	 0.128	 0.085
ABCA1	HGNC:29	-	1	 0.568	 0.189
ABCA10	HGNC:30	-	0	 0.091	 0.081
ABCA12	HGNC:14637	-	0	 0.107	 0.098
ABCA13	HGNC:14638	-	0	 0.093	 0.081
ABCA2	HGNC:32	-	0	 0.127	 0.101
ABCA3	HGNC:33	-	0	 0.155	 0.101
ABCA4	HGNC:34	-	0	 0.105	 0.082
ABCA5	HGNC:35	-	0	 0.102	 0.104
ABCA6	HGNC:36	-	0	 0.106	 0.088
ABCA7	HGNC:37	-	1	 0.246	 0.112
ABCA8	HGNC:38	-	0	 0.109	 0.085
ABCA9	HGNC:39	-	0	 0.097	 0.083
ABCB1	HGNC:40	-	0	 0.141	 0.098
ABCB10	HGNC:41	-	0	 0.105	 0.086
ABCB11	HGNC:42	-	0	 0.111	 0.096
ABCB4	HGNC:45	-	0	 0.125	 0.090
ABCB5	HGNC:46	-	0	 0.095	 0.082
ABCB6	HGNC:47	-	0	 0.119	 0.088
ABCB7	HGNC:48	-	0	 0.110	 0.087
ABCB8	HGNC:49	-	0	 0.103	 0.090
ABCB9	HGNC:50	-	0	 0.119	 0.098
ABCC1	HGNC:51	-	0	 0.125	 0.095
ABCC10	HGNC:52	-	0	 0.101	 0.090
ABCC11	HGNC:14639	-	0	 0.094	 0.080
ABCC12	HGNC:14640	-	0	 0.090	 0.084
ABCC2	HGNC:53	-	0	 0.110	 0.095
ABCC3	HGNC:54	-	0	 0.134	 0.095
ABCC4	HGNC:55	-	0	 0.117	 0.089
ABCC5	HGNC:56	-	0	 0.145	 0.110
ABCC6	HGNC:57	-	0	 0.109	 0.084
ABCC8	HGNC:59	-	0	 0.136	 0.098
ABCC9	HGNC:60	-	0	 0.115	 0.084
ABCD1	HGNC:61	-	0	 0.118	 0.086
ABCD2	HGNC:66	-	0	 0.115	 0.094
ABCD3	HGNC:67	-	0	 0.119	 0.092
ABCD4	HGNC:68	-	0	 0.104	 0.096
ABCE1	HGNC:69	-	0	 0.119	 0.106
ABCF1	HGNC:70	-	0	 0.108	 0.089
ABCF2	HGNC:71	-	0	 0.102	 0.087
ABCF3	HGNC:72	-	0	 0.094	 0.082
ABCG1	HGNC:73	-	0	 0.177	 0.092
ABCG2	HGNC:74	-	1	 0.427	 0.264
ABCG4	HGNC:13884	-	0	 0.105	 0.086
ABCG5	HGNC:13886	-	0	 0.107	 0.087
ABCG8	HGNC:13887	-	0	 0.105	 0.081
ABHD1	HGNC:17553	-	0	 0.090	 0.085
ABHD10	HGNC:25656	-	0	 0.098	 0.090
ABHD11	HGNC:16407	-	0	 0.096	 0.084
ABHD12	HGNC:15868	-	0	 0.093	 0.084
ABHD12B	HGNC:19837	-	0	 0.084	 0.080
ABHD13	HGNC:20293	-	0	 0.092	 0.084
ABHD14A	HGNC:24538	-	0	 0.103	 0.090
ABHD14B	HGNC:28235	-	0	 0.098	 0.087
ABHD15	HGNC:26971	-	0	 0.094	 0.092
ABHD16A	HGNC:13921	-	0	 0.102	 0.092
ABHD16B	HGNC:16128	-	0	 0.084	 0.080
ABHD17A	HGNC:28756	-	0	 0.096	 0.090
ABHD17B	HGNC:24278	-	0	 0.095	 0.085
ABHD17C	HGNC:26925	-	0	 0.097	 0.083
ABHD2	HGNC:18717	-	0	 0.109	 0.087
ABHD3	HGNC:18718	-	0	 0.105	 0.090
ABHD4	HGNC:20154	-	0	 0.100	 0.085
ABHD5	HGNC:21396	-	0	 0.110	 0.086
ABHD6	HGNC:21398	-	0	 0.103	 0.089
ABHD8	HGNC:23759	-	0	 0.102	 0.094
ABI1	HGNC:11320	-	0	 0.120	 0.095
ABI2	HGNC:24011	-	0	 0.117	 0.089
ABI3	HGNC:29859	-	0	 0.107	 0.088
ABI3BP	HGNC:17265	-	0	 0.105	 0.093
ABL1	HGNC:76	-	0	 0.169	 0.101
ABL2	HGNC:77	-	0	 0.125	 0.087
