gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.089
A1CF	HGNC:24086	-	0	 0.097	 0.095
A2M	HGNC:7	-	0	 0.176	 0.157
A2ML1	HGNC:23336	-	0	 0.084	 0.088
A3GALT2	HGNC:30005	-	0	 0.082	 0.084
A4GALT	HGNC:18149	-	0	 0.096	 0.094
A4GNT	HGNC:17968	-	0	 0.097	 0.099
AAAS	HGNC:13666	-	0	 0.109	 0.111
AACS	HGNC:21298	-	0	 0.092	 0.091
AADAC	HGNC:17	-	0	 0.104	 0.113
AADACL2	HGNC:24427	-	0	 0.084	 0.086
AADACL3	HGNC:32037	-	0	 0.082	 0.085
AADACL4	HGNC:32038	-	0	 0.083	 0.085
AADAT	HGNC:17929	-	0	 0.092	 0.094
AAED1	HGNC:16881	-	0	 0.091	 0.095
AAGAB	HGNC:25662	-	0	 0.095	 0.100
AAK1	HGNC:19679	-	0	 0.109	 0.109
AAMDC	HGNC:30205	-	0	 0.096	 0.098
AAMP	HGNC:18	± HC-S	0	 0.103	 0.108
AANAT	HGNC:19	-	0	 0.096	 0.094
AAR2	HGNC:15886	-	0	 0.095	 0.103
AARD	HGNC:33842	-	0	 0.088	 0.089
AARS	HGNC:20	-	0	 0.112	 0.118
AARS2	HGNC:21022	-	0	 0.092	 0.092
AARSD1	HGNC:28417	-	0	 0.096	 0.100
AASDH	HGNC:23993	-	0	 0.088	 0.085
AASDHPPT	HGNC:14235	-	0	 0.100	 0.100
AASS	HGNC:17366	-	0	 0.107	 0.117
AATF	HGNC:19235	-	0	 0.118	 0.126
AATK	HGNC:21	-	0	 0.101	 0.103
ABAT	HGNC:23	-	0	 0.128	 0.119
ABCA1	HGNC:29	-	1	 0.568	 0.234
ABCA10	HGNC:30	-	0	 0.091	 0.086
ABCA12	HGNC:14637	-	0	 0.107	 0.103
ABCA13	HGNC:14638	-	0	 0.093	 0.089
ABCA2	HGNC:32	-	0	 0.127	 0.119
ABCA3	HGNC:33	-	0	 0.155	 0.116
ABCA4	HGNC:34	-	0	 0.105	 0.100
ABCA5	HGNC:35	-	0	 0.102	 0.103
ABCA6	HGNC:36	-	0	 0.106	 0.100
ABCA7	HGNC:37	-	1	 0.246	 0.142
ABCA8	HGNC:38	-	0	 0.109	 0.101
ABCA9	HGNC:39	-	0	 0.097	 0.091
ABCB1	HGNC:40	-	0	 0.141	 0.116
ABCB10	HGNC:41	-	0	 0.105	 0.108
ABCB11	HGNC:42	-	0	 0.111	 0.103
ABCB4	HGNC:45	-	0	 0.125	 0.117
ABCB5	HGNC:46	-	0	 0.095	 0.097
ABCB6	HGNC:47	-	0	 0.119	 0.109
ABCB7	HGNC:48	-	0	 0.110	 0.114
ABCB8	HGNC:49	-	0	 0.103	 0.099
ABCB9	HGNC:50	-	0	 0.119	 0.113
ABCC1	HGNC:51	-	0	 0.125	 0.138
ABCC10	HGNC:52	-	0	 0.101	 0.106
ABCC11	HGNC:14639	-	0	 0.094	 0.099
ABCC12	HGNC:14640	-	0	 0.090	 0.088
ABCC2	HGNC:53	-	0	 0.110	 0.120
ABCC3	HGNC:54	-	0	 0.134	 0.126
ABCC4	HGNC:55	-	0	 0.117	 0.120
ABCC5	HGNC:56	-	0	 0.145	 0.142
ABCC6	HGNC:57	-	0	 0.109	 0.104
ABCC8	HGNC:59	-	0	 0.136	 0.100
ABCC9	HGNC:60	-	0	 0.115	 0.095
ABCD1	HGNC:61	-	0	 0.118	 0.111
ABCD2	HGNC:66	-	0	 0.115	 0.105
ABCD3	HGNC:67	-	0	 0.119	 0.110
ABCD4	HGNC:68	-	0	 0.104	 0.104
ABCE1	HGNC:69	-	0	 0.119	 0.119
ABCF1	HGNC:70	-	0	 0.108	 0.134
ABCF2	HGNC:71	-	0	 0.102	 0.101
