gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.089
A1CF	HGNC:24086	-	0	 0.097	 0.108
A2M	HGNC:7	-	0	 0.176	 0.415
A2ML1	HGNC:23336	-	0	 0.084	 0.081
A3GALT2	HGNC:30005	-	0	 0.082	 0.081
A4GALT	HGNC:18149	-	0	 0.096	 0.094
A4GNT	HGNC:17968	-	0	 0.097	 0.122
AAAS	HGNC:13666	-	0	 0.109	 0.136
AACS	HGNC:21298	-	0	 0.092	 0.093
AADAC	HGNC:17	-	0	 0.104	 0.124
AADACL2	HGNC:24427	-	0	 0.084	 0.083
AADACL3	HGNC:32037	-	0	 0.082	 0.081
AADACL4	HGNC:32038	-	0	 0.083	 0.086
AADAT	HGNC:17929	-	0	 0.092	 0.089
AAED1	HGNC:16881	-	0	 0.091	 0.095
AAGAB	HGNC:25662	-	0	 0.095	 0.089
AAK1	HGNC:19679	-	0	 0.109	 0.104
AAMDC	HGNC:30205	-	0	 0.096	 0.093
AAMP	HGNC:18	-	0	 0.103	 0.131
AANAT	HGNC:19	-	0	 0.096	 0.099
AAR2	HGNC:15886	-	0	 0.095	 0.094
AARD	HGNC:33842	-	0	 0.088	 0.084
AARS	HGNC:20	-	0	 0.112	 0.118
AARS2	HGNC:21022	-	0	 0.092	 0.089
AARSD1	HGNC:28417	-	0	 0.096	 0.092
AASDH	HGNC:23993	-	0	 0.088	 0.084
AASDHPPT	HGNC:14235	-	0	 0.100	 0.098
AASS	HGNC:17366	-	0	 0.107	 0.119
AATF	HGNC:19235	-	0	 0.118	 0.115
AATK	HGNC:21	-	0	 0.101	 0.102
ABAT	HGNC:23	-	0	 0.128	 0.126
ABCA1	HGNC:29	+ HC-P	0	 0.568	 0.384
ABCA10	HGNC:30	-	0	 0.091	 0.122
ABCA12	HGNC:14637	-	0	 0.107	 0.141
ABCA13	HGNC:14638	-	0	 0.093	 0.140
ABCA2	HGNC:32	-	0	 0.127	 0.197
ABCA3	HGNC:33	-	0	 0.155	 0.186
ABCA4	HGNC:34	-	0	 0.105	 0.163
ABCA5	HGNC:35	-	0	 0.102	 0.128
ABCA6	HGNC:36	-	0	 0.106	 0.145
ABCA7	HGNC:37	-	1	 0.246	 0.249
ABCA8	HGNC:38	-	0	 0.109	 0.153
ABCA9	HGNC:39	-	0	 0.097	 0.127
ABCB1	HGNC:40	-	0	 0.141	 0.228
ABCB10	HGNC:41	-	0	 0.105	 0.137
ABCB11	HGNC:42	± HC-S	0	 0.111	 0.253
ABCB4	HGNC:45	-	0	 0.125	 0.291
ABCB5	HGNC:46	-	0	 0.095	 0.130
ABCB6	HGNC:47	-	0	 0.119	 0.451
ABCB7	HGNC:48	-	0	 0.110	 0.160
ABCB8	HGNC:49	-	0	 0.103	 0.176
ABCB9	HGNC:50	-	0	 0.119	 0.142
ABCC1	HGNC:51	-	0	 0.125	 0.159
ABCC10	HGNC:52	-	0	 0.101	 0.135
ABCC11	HGNC:14639	-	0	 0.094	 0.127
ABCC12	HGNC:14640	-	0	 0.090	 0.118
ABCC2	HGNC:53	-	0	 0.110	 0.154
ABCC3	HGNC:54	-	0	 0.134	 0.280
ABCC4	HGNC:55	-	0	 0.117	 0.174
ABCC5	HGNC:56	-	0	 0.145	 0.192
ABCC6	HGNC:57	-	0	 0.109	 0.171
ABCC8	HGNC:59	-	0	 0.136	 0.156
ABCC9	HGNC:60	-	0	 0.115	 0.133
ABCD1	HGNC:61	-	0	 0.118	 0.145
ABCD2	HGNC:66	-	0	 0.115	 0.158
ABCD3	HGNC:67	-	0	 0.119	 0.165
ABCD4	HGNC:68	-	0	 0.104	 0.125
ABCE1	HGNC:69	-	0	 0.119	 0.113
ABCF1	HGNC:70	-	0	 0.108	 0.109
ABCF2	HGNC:71	-	0	 0.102	 0.113
ABCF3	HGNC:72	-	0	 0.094	 0.090
ABCG1	HGNC:73	-	0	 0.177	 0.970
ABCG2	HGNC:74	-	1	 0.427	 3.250
ABCG4	HGNC:13884	-	0	 0.105	 0.143
ABCG5	HGNC:13886	-	0	 0.107	 0.244
ABCG8	HGNC:13887	-	0	 0.105	 0.255
ABHD1	HGNC:17553	-	0	 0.090	 0.091
ABHD10	HGNC:25656	-	0	 0.098	 0.093
ABHD11	HGNC:16407	-	0	 0.096	 0.092
ABHD12	HGNC:15868	-	0	 0.093	 0.090
ABHD12B	HGNC:19837	-	0	 0.084	 0.081
ABHD13	HGNC:20293	-	0	 0.092	 0.086
ABHD14A	HGNC:24538	-	0	 0.103	 0.096
ABHD14B	HGNC:28235	-	0	 0.098	 0.089
ABHD15	HGNC:26971	-	0	 0.094	 0.087
ABHD16A	HGNC:13921	-	0	 0.102	 0.091
ABHD16B	HGNC:16128	-	0	 0.084	 0.081
ABHD17A	HGNC:28756	-	0	 0.096	 0.089
ABHD17B	HGNC:24278	-	0	 0.095	 0.090
ABHD17C	HGNC:26925	-	0	 0.097	 0.093
ABHD2	HGNC:18717	-	0	 0.109	 0.102
ABHD3	HGNC:18718	-	0	 0.105	 0.101
ABHD4	HGNC:20154	-	0	 0.100	 0.095
ABHD5	HGNC:21396	-	0	 0.110	 0.246
ABHD6	HGNC:21398	-	0	 0.103	 0.093
ABHD8	HGNC:23759	-	0	 0.102	 0.096
ABI1	HGNC:11320	-	0	 0.120	 0.104
ABI2	HGNC:24011	-	0	 0.117	 0.092
ABI3	HGNC:29859	-	0	 0.107	 0.112
ABI3BP	HGNC:17265	-	0	 0.105	 0.094
