gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.084
A1CF	HGNC:24086	-	0	 0.097	 0.096
A2M	HGNC:7	-	0	 0.176	 0.107
A2ML1	HGNC:23336	-	0	 0.084	 0.081
A3GALT2	HGNC:30005	-	0	 0.082	 0.080
A4GALT	HGNC:18149	-	0	 0.096	 0.083
A4GNT	HGNC:17968	-	0	 0.097	 0.091
AAAS	HGNC:13666	-	0	 0.109	 0.096
AACS	HGNC:21298	-	0	 0.092	 0.086
AADAC	HGNC:17	-	0	 0.104	 0.085
AADACL2	HGNC:24427	-	0	 0.084	 0.080
AADACL3	HGNC:32037	-	0	 0.082	 0.080
AADACL4	HGNC:32038	-	0	 0.083	 0.080
AADAT	HGNC:17929	-	0	 0.092	 0.085
AAED1	HGNC:16881	-	0	 0.091	 0.082
AAGAB	HGNC:25662	-	0	 0.095	 0.085
AAK1	HGNC:19679	-	0	 0.109	 0.088
AAMDC	HGNC:30205	-	0	 0.096	 0.086
AAMP	HGNC:18	-	0	 0.103	 0.086
AANAT	HGNC:19	-	0	 0.096	 0.091
AAR2	HGNC:15886	-	0	 0.095	 0.085
AARD	HGNC:33842	-	0	 0.088	 0.081
AARS	HGNC:20	-	0	 0.112	 0.095
AARS2	HGNC:21022	-	0	 0.092	 0.091
AARSD1	HGNC:28417	-	0	 0.096	 0.087
AASDH	HGNC:23993	-	0	 0.088	 0.080
AASDHPPT	HGNC:14235	-	0	 0.100	 0.089
AASS	HGNC:17366	-	0	 0.107	 0.099
AATF	HGNC:19235	-	0	 0.118	 0.104
AATK	HGNC:21	-	0	 0.101	 0.089
ABAT	HGNC:23	-	0	 0.128	 0.098
ABCA1	HGNC:29	-	1	 0.568	 0.170
ABCA10	HGNC:30	-	0	 0.091	 0.094
ABCA12	HGNC:14637	-	0	 0.107	 0.087
ABCA13	HGNC:14638	-	0	 0.093	 0.083
ABCA2	HGNC:32	-	0	 0.127	 0.099
ABCA3	HGNC:33	-	0	 0.155	 0.100
ABCA4	HGNC:34	-	0	 0.105	 0.088
ABCA5	HGNC:35	-	0	 0.102	 0.089
ABCA6	HGNC:36	-	0	 0.106	 0.085
ABCA7	HGNC:37	-	1	 0.246	 0.109
ABCA8	HGNC:38	-	0	 0.109	 0.100
ABCA9	HGNC:39	-	0	 0.097	 0.089
ABCB1	HGNC:40	-	0	 0.141	 0.092
ABCB10	HGNC:41	-	0	 0.105	 0.088
ABCB11	HGNC:42	-	0	 0.111	 0.097
ABCB4	HGNC:45	-	0	 0.125	 0.091
ABCB5	HGNC:46	-	0	 0.095	 0.081
ABCB6	HGNC:47	-	0	 0.119	 0.093
ABCB7	HGNC:48	-	0	 0.110	 0.103
ABCB8	HGNC:49	-	0	 0.103	 0.092
ABCB9	HGNC:50	-	0	 0.119	 0.095
ABCC1	HGNC:51	-	0	 0.125	 0.106
ABCC10	HGNC:52	-	0	 0.101	 0.083
ABCC11	HGNC:14639	-	0	 0.094	 0.080
